epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82643,1.73281,4.19559,1.44709,0,0,0,0,1.74033,4.47814,1.09763,0.00038583,0.00038583,0.00038583
2,14.8346,1.58529,2.95191,1.2794,0.00476,0.2,0.19693,0.13785,2.0644,4.34179,1.27281,0.000776224,0.000776224,0.000776224
3,21.8831,1.4346,2.71515,1.24593,0.00741,0.2,0.198,0.1188,2.66008,4.27322,1.54839,0.00115671,0.00115671,0.00115671
4,28.8652,1.43008,2.51959,1.23624,0.95898,0.2,0.19695,0.11817,2.48912,3.70954,1.42335,0.00137595,0.00137595,0.00137595
5,35.8866,1.4649,2.33672,1.23248,0.96173,0.2,0.19682,0.15745,1.98659,3.46499,1.24794,0.00135826,0.00135826,0.00135826
6,42.9632,1.46213,2.2968,1.29507,0.91147,0.2,0.19982,0.15924,2.01752,4.20579,1.24862,0.00134058,0.00134058,0.00134058
7,50.0427,1.44898,2.11695,1.2733,0.45043,0.4,0.29884,0.18066,2.09756,4.25521,1.22488,0.0013229,0.0013229,0.0013229
8,57.0837,1.36719,2.02934,1.21115,0.97564,0.4,0.39821,0.19625,2.18941,3.20576,1.29262,0.00130521,0.00130521,0.00130521
9,64.1412,1.43421,2.21044,1.27373,0.48028,0.4,0.29766,0.16049,2.06275,3.13154,1.27366,0.00128753,0.00128753,0.00128753
10,71.2035,1.34072,1.86822,1.20148,0.53447,0.24137,0.33224,0.13919,2.264,3.21896,1.31014,0.00126985,0.00126985,0.00126985
11,78.1897,1.39028,1.90841,1.24814,0.94213,0.4,0.39924,0.16777,2.15254,3.35863,1.29983,0.00125216,0.00125216,0.00125216
12,85.1757,1.38478,1.74032,1.24143,0.97328,0.4,0.45362,0.19967,2.44405,2.36132,1.43856,0.00123448,0.00123448,0.00123448
13,92.2036,1.36817,1.72244,1.2181,0.97465,0.4,0.47377,0.21187,2.44047,2.28397,1.40067,0.00121679,0.00121679,0.00121679
14,99.2592,1.3953,1.6483,1.23842,0.96384,0.4,0.5187,0.19708,2.08361,2.06536,1.23343,0.00119911,0.00119911,0.00119911
15,106.31,1.31182,1.59526,1.17424,0.68768,0.6,0.54842,0.22417,2.20116,1.92135,1.29381,0.00118143,0.00118143,0.00118143
16,113.341,1.31123,1.53688,1.22647,0.97852,0.4,0.42477,0.22429,2.48002,2.32326,1.49507,0.00116374,0.00116374,0.00116374
17,120.342,1.28355,1.45894,1.19177,0.97416,0.4,0.43634,0.21706,2.11394,2.35754,1.29379,0.00114606,0.00114606,0.00114606
18,127.357,1.35262,1.45766,1.23008,0.97483,0.4,0.39962,0.19266,2.25394,2.72974,1.30863,0.00112837,0.00112837,0.00112837
19,134.348,1.32176,1.39485,1.18645,0.97183,0.4,0.51178,0.17991,2.42749,2.00509,1.33521,0.00111069,0.00111069,0.00111069
20,141.34,1.33817,1.40901,1.19934,0.7205,0.5292,0.58691,0.2023,2.43956,2.18007,1.33549,0.00109301,0.00109301,0.00109301
21,148.382,1.27858,1.37678,1.18391,0.97923,0.4,0.46835,0.27783,1.95806,2.22279,1.14702,0.00107532,0.00107532,0.00107532
22,155.45,1.24875,1.36225,1.19023,0.97529,0.4,0.43804,0.25907,2.0483,2.45801,1.16792,0.00105764,0.00105764,0.00105764
23,162.49,1.22988,1.24963,1.17725,0.96267,0.4,0.4249,0.23561,1.99504,2.17345,1.14379,0.00103995,0.00103995,0.00103995
24,169.539,1.21673,1.25097,1.15227,0.97227,0.4,0.43326,0.19114,2.24765,2.27762,1.25745,0.00102227,0.00102227,0.00102227
25,176.568,1.21979,1.29927,1.18557,0.98106,0.4,0.4666,0.21577,2.42374,2.2859,1.33748,0.00100459,0.00100459,0.00100459
26,183.602,1.20231,1.23799,1.16508,0.96105,0.4,0.41348,0.24809,2.37564,2.74861,1.32996,0.000986903,0.000986903,0.000986903
27,190.641,1.1895,1.15531,1.1301,0.93453,0.4,0.41846,0.23029,2.24005,2.81977,1.28922,0.000969219,0.000969219,0.000969219
28,197.699,1.25981,1.20986,1.15757,0.97554,0.4,0.41603,0.26077,2.06233,2.19055,1.25138,0.000951535,0.000951535,0.000951535
29,204.745,1.17504,1.10224,1.11593,0.97004,0.4,0.4525,0.2636,2.27803,2.35792,1.22918,0.000933851,0.000933851,0.000933851
30,211.788,1.12561,1.0899,1.1076,0.5937,0.4,0.38654,0.25374,1.9394,2.57977,1.15292,0.000916168,0.000916168,0.000916168
31,218.858,1.21307,1.1715,1.11865,0.97829,0.4,0.59389,0.34025,1.95689,1.9831,1.1639,0.000898484,0.000898484,0.000898484
32,225.896,1.2331,1.09465,1.14098,0.74028,0.57666,0.64113,0.29724,2.06419,1.56564,1.18971,0.0008808,0.0008808,0.0008808
33,232.921,1.14466,1.00009,1.10486,1,0.39791,0.57797,0.23098,2.33199,2.24572,1.37637,0.000863116,0.000863116,0.000863116
34,239.959,1.16527,1.08137,1.15543,0.98055,0.4,0.51406,0.21679,2.30506,2.30691,1.36025,0.000845432,0.000845432,0.000845432
35,246.963,1.15032,1.07661,1.10725,0.96696,0.4,0.4255,0.19494,2.48512,2.4756,1.3811,0.000827748,0.000827748,0.000827748
36,254.001,1.08389,0.96544,1.06783,0.97176,0.4,0.42273,0.19337,2.29856,2.60794,1.30096,0.000810064,0.000810064,0.000810064
37,261.015,1.11722,0.96502,1.08966,1,0.38679,0.43567,0.2219,2.10677,2.87446,1.30309,0.00079238,0.00079238,0.00079238
38,267.999,1.12035,0.98763,1.1231,0.95837,0.2,0.37174,0.17591,2.23974,3.27492,1.40381,0.000774697,0.000774697,0.000774697
39,275.048,1.04369,0.91189,1.08191,0.94042,0.2,0.33778,0.16426,2.18685,2.92338,1.31907,0.000757013,0.000757013,0.000757013
40,282.119,1.01948,0.90551,1.05594,0.448,0.4,0.42835,0.18885,2.13562,2.77654,1.31251,0.000739329,0.000739329,0.000739329
41,289.357,1.10824,0.92057,1.07958,0.59413,0.31296,0.57239,0.23661,2.22893,2.50447,1.37965,0.000721645,0.000721645,0.000721645
42,296.438,1.09164,0.91525,1.08749,1,0.39672,0.69889,0.29195,2.14284,2.12904,1.29476,0.000703961,0.000703961,0.000703961
43,303.474,1.10819,0.90033,1.10328,1,0.39105,0.61833,0.18594,2.46992,2.69359,1.35989,0.000686277,0.000686277,0.000686277
44,310.471,1.03632,0.86037,1.04723,0.38863,0.26636,0.39674,0.1828,2.17001,2.52851,1.22624,0.000668593,0.000668593,0.000668593
45,317.506,1.05933,0.87914,1.07367,0.96652,0.2,0.41964,0.18724,2.15727,2.53438,1.23998,0.000650909,0.000650909,0.000650909
46,324.551,1.02403,0.85462,1.05465,0.42569,0.2,0.54139,0.22354,2.10603,2.33744,1.19887,0.000633226,0.000633226,0.000633226
47,331.572,1.04866,0.83194,1.05585,1,0.39466,0.57295,0.30086,2.04101,2.39561,1.18134,0.000615542,0.000615542,0.000615542
48,338.589,1.04254,0.85637,1.06964,1,0.39148,0.4755,0.24497,2.20896,2.50468,1.25219,0.000597858,0.000597858,0.000597858
49,345.604,1.01002,0.80285,1.05788,0.9897,0.4,0.50878,0.26638,1.99452,2.18979,1.17777,0.000580174,0.000580174,0.000580174
50,352.606,1.03345,0.79967,1.05815,1,0.39446,0.58966,0.2676,2.02193,2.21986,1.18584,0.00056249,0.00056249,0.00056249
51,359.6,1.01345,0.80816,1.05366,0.90156,0.6,0.67402,0.29486,1.87711,1.98551,1.12149,0.000544806,0.000544806,0.000544806
52,366.623,0.99725,0.84535,1.05102,0.84431,0.6,0.67917,0.3091,1.87326,2.00267,1.11347,0.000527122,0.000527122,0.000527122
53,377.498,0.94905,0.78853,1.02918,0.22222,0.8,0.505,0.24772,1.97276,2.72161,1.18317,0.000509438,0.000509438,0.000509438
54,384.563,1.01119,0.80417,1.0404,0.97052,0.2,0.40172,0.21986,1.94573,2.64489,1.19187,0.000491755,0.000491755,0.000491755
55,391.579,0.93565,0.74483,1.01871,1,0.39797,0.59615,0.23449,2.19482,2.23586,1.24725,0.000474071,0.000474071,0.000474071
56,398.629,0.95403,0.77728,1.02829,1,0.3966,0.65004,0.24611,2.16325,2.09082,1.26252,0.000456387,0.000456387,0.000456387
57,405.64,0.96391,0.78463,1.04215,1,0.39962,0.63873,0.29378,2.02538,2.07191,1.19224,0.000438703,0.000438703,0.000438703
58,412.713,0.95404,0.73829,1.02804,0.97045,0.2,0.46933,0.21673,2.14193,2.71768,1.21141,0.000421019,0.000421019,0.000421019
59,419.721,0.95347,0.74471,1.03314,1,0.38911,0.517,0.2585,2.23228,3.4395,1.2418,0.000403335,0.000403335,0.000403335
60,426.789,0.93935,0.7623,1.02734,0.97206,0.2,0.39611,0.19806,2.13408,3.23231,1.19239,0.000385651,0.000385651,0.000385651
61,433.85,0.90357,0.72452,1.02432,0.97104,0.2,0.39893,0.19771,2.06251,2.8616,1.18061,0.000367967,0.000367967,0.000367967
62,440.895,0.90931,0.72292,1.01358,0.97012,0.2,0.39611,0.22206,1.96833,2.73988,1.16511,0.000350284,0.000350284,0.000350284
63,447.937,0.93634,0.76534,1.03984,1,0.38902,0.45045,0.24973,2.05948,2.90125,1.24302,0.0003326,0.0003326,0.0003326
64,454.967,0.91825,0.69936,0.99965,1,0.39035,0.50237,0.25741,1.91341,2.56999,1.19637,0.000314916,0.000314916,0.000314916
65,462.054,0.8792,0.69169,1.00534,1,0.39862,0.62429,0.2735,1.9897,2.39669,1.22223,0.000297232,0.000297232,0.000297232
66,469.214,0.90639,0.6822,1.02052,0.21053,0.8,0.56155,0.2387,2.15688,2.4997,1.27923,0.000279548,0.000279548,0.000279548
67,476.251,0.87218,0.67425,1.00316,1,0.38981,0.54988,0.20106,2.24383,2.49128,1.36973,0.000261864,0.000261864,0.000261864
68,483.283,0.86327,0.66924,1.01123,0.97211,0.2,0.46677,0.17705,2.21507,2.64202,1.44061,0.00024418,0.00024418,0.00024418
69,490.328,0.8626,0.63932,1.00259,0.97095,0.2,0.36893,0.17725,2.09812,2.93548,1.35655,0.000226497,0.000226497,0.000226497
70,497.369,0.87197,0.69473,1.00488,0.97021,0.2,0.39012,0.20198,1.98131,2.87864,1.29747,0.000208813,0.000208813,0.000208813
71,505.205,0.79573,0.60218,0.97324,0.96889,0.2,0.34626,0.18708,1.94772,3.14791,1.27322,0.000191129,0.000191129,0.000191129
72,512.283,0.76898,0.57925,0.95184,0.96974,0.2,0.32348,0.17942,1.96746,3.22905,1.31995,0.000173445,0.000173445,0.000173445
73,519.389,0.75016,0.5713,0.92112,0.97098,0.2,0.31968,0.1769,1.93174,3.14365,1.26435,0.000155761,0.000155761,0.000155761
74,526.43,0.74964,0.59248,0.95451,0.97153,0.2,0.3562,0.19133,1.93199,2.999,1.2254,0.000138077,0.000138077,0.000138077
75,533.51,0.75469,0.56326,0.95403,0.97134,0.2,0.37694,0.19539,1.93439,2.90826,1.23601,0.000120393,0.000120393,0.000120393
76,540.557,0.75572,0.57883,0.9375,0.97099,0.2,0.37174,0.19512,2.06182,2.97856,1.30907,0.000102709,0.000102709,0.000102709
77,547.616,0.72796,0.57815,0.9627,0.97145,0.2,0.37174,0.2072,2.01278,2.94868,1.26551,8.50255e-05,8.50255e-05,8.50255e-05
78,554.66,0.71298,0.54384,0.92765,0.97151,0.2,0.37174,0.2072,2.00612,3.01724,1.22644,6.73416e-05,6.73416e-05,6.73416e-05
79,561.694,0.70618,0.54036,0.93264,0.97174,0.2,0.37295,0.20801,1.99744,3.05141,1.22053,4.96578e-05,4.96578e-05,4.96578e-05
80,568.7,0.70212,0.54139,0.92697,0.97188,0.2,0.37575,0.20986,2.01493,2.9739,1.24608,3.19739e-05,3.19739e-05,3.19739e-05
