epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90881,1.71244,3.94726,1.41966,0.00664,0.4,0.10086,0.03186,1.53836,4.4018,1.1384,0.00045009,0.00045009,0.00045009
2,14.8822,1.5862,2.8204,1.24847,0.00391,0.2,0.19658,0.13761,1.96409,4.18663,1.22775,0.000915942,0.000915942,0.000915942
3,21.8942,1.5115,2.69834,1.26609,0.00344,0.2,0.09889,0.06922,1.94382,4.15089,1.237,0.00138087,0.00138087,0.00138087
4,28.8935,1.46108,2.42474,1.2597,1,0.383,0.39689,0.21738,2.49907,4.50707,1.49716,0.00166205,0.00166205,0.00166205
5,35.8964,1.46818,2.31537,1.25661,0.96302,0.2,0.24178,0.15315,2.08569,4.05989,1.28314,0.0016604,0.0016604,0.0016604
6,42.9106,1.52252,2.32855,1.34084,0.92584,0.2,0.22551,0.15483,2.27942,3.96571,1.37953,0.00165875,0.00165875,0.00165875
7,49.9293,1.45981,2.11468,1.26523,0.80203,0.2,0.21705,0.10429,2.37269,4.73522,1.45922,0.0016571,0.0016571,0.0016571
8,56.9986,1.38183,1.99807,1.21544,1,0.39338,0.39693,0.17886,2.32242,2.54178,1.45288,0.00165545,0.00165545,0.00165545
9,63.9777,1.47759,2.1939,1.2737,0.9671,0.2,0.25415,0.14072,2.19538,3.31074,1.45021,0.0016538,0.0016538,0.0016538
10,70.9726,1.44018,1.94565,1.23594,1,0.38243,0.3973,0.17857,2.46751,2.63337,1.34112,0.00165215,0.00165215,0.00165215
11,77.9974,1.41676,1.99136,1.28369,0.98134,0.4,0.39732,0.20154,1.98923,2.64905,1.2507,0.0016505,0.0016505,0.0016505
12,85.0385,1.44404,1.78337,1.27957,0.97805,0.4,0.39722,0.17224,2.24686,2.6499,1.35381,0.00164885,0.00164885,0.00164885
13,92.0673,1.39136,1.71862,1.24239,0.885,0.2,0.25454,0.17239,2.3318,2.82055,1.40953,0.0016472,0.0016472,0.0016472
14,99.0626,1.48141,1.70014,1.28901,0.64234,0.4,0.3519,0.20705,2.46106,2.60366,1.41405,0.00164555,0.00164555,0.00164555
15,106.055,1.41135,1.67518,1.1991,0.98324,0.4,0.41313,0.22694,2.14119,2.26347,1.31401,0.0016439,0.0016439,0.0016439
16,113.124,1.42504,1.64588,1.26653,0.96824,0.4,0.43577,0.22595,2.35626,2.34987,1.35275,0.00164225,0.00164225,0.00164225
17,120.297,1.3756,1.55864,1.23963,0.97195,0.4,0.40407,0.21921,2.01734,2.55779,1.28347,0.00164059,0.00164059,0.00164059
18,127.369,1.38524,1.47281,1.25246,0.51747,0.4,0.43078,0.21644,2.20115,2.62539,1.34094,0.00163894,0.00163894,0.00163894
19,134.424,1.35118,1.43341,1.23082,0.61142,0.4,0.43921,0.1862,2.44225,2.24938,1.46349,0.00163729,0.00163729,0.00163729
20,141.434,1.39191,1.46025,1.25659,0.96627,0.4,0.39753,0.2381,2.05995,1.99091,1.21839,0.00163564,0.00163564,0.00163564
21,148.533,1.32094,1.41836,1.20506,1,0.37052,0.39921,0.10518,2.25485,2.97426,1.42506,0.00163399,0.00163399,0.00163399
22,155.573,1.3274,1.36604,1.21514,0.9788,0.4,0.4063,0.22415,1.93932,2.88953,1.16283,0.00163234,0.00163234,0.00163234
23,162.607,1.32676,1.27527,1.21867,0.93823,0.4,0.39912,0.21244,2.27404,2.87893,1.30813,0.00163069,0.00163069,0.00163069
24,169.639,1.33177,1.32168,1.20037,0.60983,0.4,0.34713,0.12882,2.04395,2.81569,1.28515,0.00162904,0.00162904,0.00162904
25,176.647,1.28611,1.37166,1.24156,0.94795,0.4,0.44574,0.21955,1.83351,2.10077,1.2425,0.00162739,0.00162739,0.00162739
26,183.638,1.2882,1.32021,1.22121,1,0.39346,0.40919,0.23376,2.30805,2.76372,1.45668,0.00162574,0.00162574,0.00162574
27,190.697,1.27715,1.20839,1.20636,1,0.38566,0.4466,0.16511,2.35714,2.42762,1.43674,0.00162409,0.00162409,0.00162409
28,197.749,1.33379,1.23881,1.20736,0.97026,0.4,0.44762,0.2036,2.63848,1.946,1.47745,0.00162244,0.00162244,0.00162244
29,204.848,1.28829,1.14655,1.18126,1,0.39434,0.46331,0.22565,2.2525,2.57582,1.38444,0.00162079,0.00162079,0.00162079
30,211.972,1.23512,1.14875,1.17033,1,0.38631,0.5293,0.20583,2.42401,2.06133,1.38262,0.00161914,0.00161914,0.00161914
31,219.038,1.31538,1.22796,1.17595,1,0.58566,0.68817,0.22979,2.09403,1.60997,1.27254,0.00161749,0.00161749,0.00161749
32,226.2,1.31328,1.1496,1.17131,0.97804,0.4,0.5623,0.27249,1.92897,1.56777,1.25602,0.00161584,0.00161584,0.00161584
33,233.338,1.24224,1.04829,1.14491,0.97126,0.4,0.44038,0.19768,2.37971,1.49858,1.44128,0.00161419,0.00161419,0.00161419
34,240.442,1.27325,1.11567,1.20351,0.47304,0.4,0.33433,0.16132,2.36961,2.40776,1.55166,0.00161254,0.00161254,0.00161254
35,247.631,1.23616,1.1787,1.15783,0.46941,0.4,0.37221,0.15091,2.90103,2.80287,1.61375,0.00161089,0.00161089,0.00161089
