epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.93973,1.71244,3.94726,1.41966,0.00664,0.4,0.10086,0.03186,1.53836,4.4018,1.1384,0.00045009,0.00045009,0.00045009
2,14.9654,1.58674,2.81353,1.24728,0.00369,0.2,0.19649,0.13755,1.93409,4.23785,1.24297,0.000898696,0.000898696,0.000898696
3,22.0257,1.49356,2.68217,1.2472,0.00369,0.2,0.09899,0.0594,2.06372,4.17105,1.28757,0.00132882,0.00132882,0.00132882
4,28.9886,1.44928,2.40675,1.24626,0.94089,0.2,0.25419,0.15544,2.26184,4.16393,1.34542,0.00156798,0.00156798,0.00156798
5,36.0332,1.44255,2.36659,1.28159,0.54215,0.2,0.20674,0.14472,1.76345,3.58793,1.29894,0.00153497,0.00153497,0.00153497
6,43.0151,1.48869,2.27886,1.35528,0.9052,0.2,0.19643,0.11786,2.20781,7.8692,1.55968,0.00150197,0.00150197,0.00150197
7,50.0459,1.45347,2.12338,1.30069,0.91314,0.2,0.19738,0.13817,2.13825,5.61834,1.43379,0.00146896,0.00146896,0.00146896
8,57.0285,1.40034,2.00869,1.25547,0.38981,0.4,0.29773,0.14626,2.36479,5.29936,1.48426,0.00143595,0.00143595,0.00143595
9,64.0053,1.46964,2.22134,1.27994,0.98618,0.4,0.40896,0.22485,1.92427,2.72678,1.29949,0.00140295,0.00140295,0.00140295
10,71.0702,1.40134,1.89571,1.25351,0.98971,0.4,0.43227,0.19305,1.85186,2.21406,1.21039,0.00136994,0.00136994,0.00136994
11,78.1189,1.39925,1.90711,1.27075,0.95504,0.4,0.39953,0.23482,1.77749,2.44415,1.19342,0.00133693,0.00133693,0.00133693
12,85.2428,1.4068,1.75235,1.26894,0.50962,0.2,0.33084,0.13126,2.07727,2.79899,1.29608,0.00130393,0.00130393,0.00130393
13,92.3668,1.40817,1.76969,1.27111,0.59873,0.4,0.26553,0.09348,2.26214,2.9473,1.32449,0.00127092,0.00127092,0.00127092
14,99.4686,1.41375,1.71115,1.25114,0.96807,0.4,0.40257,0.17637,2.24687,2.39185,1.3819,0.00123791,0.00123791,0.00123791
15,106.49,1.36145,1.55757,1.19031,0.95965,0.4,0.39976,0.18985,2.29805,2.43787,1.3742,0.00120491,0.00120491,0.00120491
16,113.533,1.32956,1.53995,1.24203,0.97619,0.4,0.48323,0.1944,2.33059,2.41763,1.43749,0.0011719,0.0011719,0.0011719
17,120.596,1.32885,1.49149,1.21729,0.97611,0.4,0.3975,0.19833,2.0084,2.32795,1.27277,0.00113889,0.00113889,0.00113889
18,127.618,1.37422,1.41047,1.22751,0.95449,0.4,0.4048,0.10285,2.08649,2.71303,1.39713,0.00110589,0.00110589,0.00110589
19,134.65,1.30191,1.34187,1.16273,0.9752,0.4,0.41068,0.16627,2.2705,2.29156,1.32792,0.00107288,0.00107288,0.00107288
20,141.737,1.33072,1.38474,1.18916,0.96495,0.4,0.39699,0.16037,2.2857,2.45682,1.2791,0.00103987,0.00103987,0.00103987
21,148.846,1.30122,1.35808,1.18203,0.97226,0.4,0.39716,0.19842,2.15151,2.25146,1.2707,0.00100687,0.00100687,0.00100687
22,155.892,1.25637,1.3246,1.20296,0.9665,0.4,0.398,0.1592,2.43868,2.58887,1.37511,0.000973861,0.000973861,0.000973861
23,162.922,1.24899,1.21624,1.19672,0.9593,0.4,0.40757,0.19038,2.19081,2.28515,1.31577,0.000940855,0.000940855,0.000940855
24,169.94,1.22716,1.23809,1.15538,0.96792,0.4,0.4336,0.2193,2.28579,2.35435,1.31409,0.000907848,0.000907848,0.000907848
25,176.975,1.20183,1.24652,1.19998,0.96865,0.4,0.4194,0.13892,2.73583,2.76091,1.57761,0.000874842,0.000874842,0.000874842
26,183.965,1.23819,1.19144,1.19657,0.98237,0.4,0.40468,0.16123,2.58406,2.95521,1.60567,0.000841835,0.000841835,0.000841835
27,191.041,1.15663,1.13098,1.13675,0.99892,0.4,0.40886,0.17107,2.54411,2.37272,1.515,0.000808828,0.000808828,0.000808828
28,198.058,1.24929,1.16117,1.17066,0.97401,0.4,0.40384,0.18154,2.63598,2.00377,1.53366,0.000775822,0.000775822,0.000775822
29,205.069,1.13497,1.09019,1.11133,0.96863,0.4,0.40771,0.1552,2.58112,2.65969,1.55678,0.000742815,0.000742815,0.000742815
30,212.107,1.11761,1.04663,1.11448,0.97597,0.4,0.42404,0.16372,2.49536,2.4515,1.49555,0.000709809,0.000709809,0.000709809
31,219.14,1.22922,1.13013,1.13784,0.97222,0.4,0.43446,0.17513,2.40242,2.14905,1.40641,0.000676802,0.000676802,0.000676802
32,226.161,1.16892,1.02481,1.12599,0.97619,0.4,0.42435,0.18357,2.392,1.85891,1.45912,0.000643795,0.000643795,0.000643795
33,233.23,1.14105,0.95571,1.12049,0.97512,0.4,0.40826,0.20739,2.3942,2.01893,1.46879,0.000610789,0.000610789,0.000610789
34,240.236,1.13202,1.03161,1.13597,0.97754,0.4,0.41149,0.1966,2.49759,2.00799,1.50843,0.000577782,0.000577782,0.000577782
35,247.288,1.09379,1.00055,1.09649,0.97545,0.4,0.41406,0.17664,2.55455,2.28992,1.63451,0.000544776,0.000544776,0.000544776
36,254.36,1.05313,0.90529,1.05693,0.97035,0.4,0.42042,0.18388,2.52896,2.78138,1.50285,0.000511769,0.000511769,0.000511769
37,261.425,1.08512,0.91287,1.08474,0.96912,0.4,0.41759,0.2088,2.47304,2.79663,1.49785,0.000478762,0.000478762,0.000478762
38,268.492,1.0702,0.93685,1.08897,0.96889,0.4,0.4194,0.18888,2.70151,2.68032,1.56657,0.000445756,0.000445756,0.000445756
