epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.56585,1.71244,3.94726,1.41966,0.00664,0.4,0.10086,0.03186,1.53836,4.4018,1.1384,0.00045009,0.00045009,0.00045009
2,15.6831,1.58531,2.81854,1.24798,0.00382,0.2,0.19655,0.13758,1.96006,4.19702,1.23579,0.000915035,0.000915035,0.000915035
3,22.9102,1.48616,2.67619,1.24021,0.0041,0.2,0.19666,0.15733,1.90169,4.33671,1.18417,0.00137813,0.00137813,0.00137813
4,30.126,1.46618,2.47699,1.24739,0.96719,0.2,0.26392,0.178,2.10967,3.79137,1.26796,0.0016571,0.0016571,0.0016571
5,37.2354,1.46364,2.34869,1.27931,0.9595,0.2,0.22231,0.14987,2.18443,3.6043,1.28808,0.0016538,0.0016538,0.0016538
6,44.265,1.48064,2.29196,1.33135,0.57524,0.2,0.33109,0.20534,2.25802,3.81337,1.37973,0.0016505,0.0016505,0.0016505
7,51.3655,1.49823,2.19576,1.27572,0.95127,0.2,0.20566,0.14303,2.22658,3.9609,1.34486,0.0016472,0.0016472,0.0016472
8,58.4252,1.41003,2.01924,1.23869,0.63661,0.4,0.33011,0.18378,2.38485,3.23408,1.37058,0.0016439,0.0016439,0.0016439
9,65.4756,1.49007,2.16943,1.28144,0.95282,0.4,0.41589,0.17959,2.60907,2.82019,1.33132,0.00164059,0.00164059,0.00164059
10,72.5363,1.45072,1.93582,1.25269,0.69897,0.6,0.5473,0.1733,2.42003,2.98472,1.31517,0.00163729,0.00163729,0.00163729
11,79.5937,1.41028,1.93767,1.26632,0.01316,0.6,0.28591,0.10335,2.50459,3.55042,1.43033,0.00163399,0.00163399,0.00163399
12,86.611,1.43203,1.76608,1.26379,1,0.39381,0.484,0.19411,2.14582,2.75044,1.27059,0.00163069,0.00163069,0.00163069
13,93.7417,1.40306,1.68667,1.25227,0.87809,0.2,0.22411,0.12478,2.32447,2.42243,1.36215,0.00162739,0.00162739,0.00162739
14,100.758,1.46923,1.71252,1.28665,0.46837,0.4,0.19994,0.09663,2.17401,2.76795,1.37748,0.00162409,0.00162409,0.00162409
15,107.785,1.39044,1.67262,1.21494,0.9423,0.4,0.41828,0.19468,2.21402,2.70512,1.29234,0.00162079,0.00162079,0.00162079
16,114.842,1.4027,1.63411,1.26879,0.97827,0.4,0.40743,0.1934,2.25376,2.4998,1.32138,0.00161749,0.00161749,0.00161749
17,121.872,1.37493,1.58381,1.24663,0.97567,0.4,0.40203,0.21884,1.98615,2.41885,1.25293,0.00161419,0.00161419,0.00161419
18,129.015,1.41102,1.48201,1.24906,0.91989,0.4,0.39761,0.18935,1.94506,2.77302,1.34425,0.00161089,0.00161089,0.00161089
19,136.107,1.3465,1.42505,1.21845,0.48268,0.37921,0.29889,0.06069,2.42589,3.60321,1.42433,0.00160759,0.00160759,0.00160759
20,143.156,1.3864,1.47933,1.23493,0.95951,0.4,0.41512,0.18333,2.21856,2.61308,1.28281,0.00160429,0.00160429,0.00160429
21,150.207,1.34041,1.40413,1.21239,0.64602,0.37523,0.33325,0.16778,2.27319,2.67361,1.39921,0.00160099,0.00160099,0.00160099
22,157.294,1.38049,1.43225,1.2219,0.96088,0.4,0.40116,0.16682,2.27075,3.18853,1.33499,0.00159769,0.00159769,0.00159769
23,164.341,1.35464,1.33371,1.21822,0.85914,0.4,0.39886,0.1237,2.06217,2.77703,1.28328,0.00159439,0.00159439,0.00159439
24,171.457,1.28646,1.32085,1.17093,0.97573,0.4,0.39867,0.19275,2.22683,2.36282,1.33804,0.00159108,0.00159108,0.00159108
25,178.565,1.28751,1.35828,1.21518,0.97685,0.4,0.40122,0.16393,2.22547,2.52908,1.44054,0.00158778,0.00158778,0.00158778
26,185.618,1.29113,1.29066,1.21026,0.96356,0.4,0.41643,0.22315,1.93322,2.42728,1.27782,0.00158448,0.00158448,0.00158448
27,192.749,1.26996,1.23076,1.16909,1,0.39477,0.45542,0.20342,1.85991,2.28336,1.17242,0.00158118,0.00158118,0.00158118
28,199.803,1.3227,1.28456,1.21054,0.60843,0.4,0.41666,0.17119,1.97238,2.42557,1.26986,0.00157788,0.00157788,0.00157788
29,206.893,1.26269,1.13809,1.16844,1,0.3995,0.63423,0.31582,2.18397,2.26288,1.28077,0.00157458,0.00157458,0.00157458
30,214.066,1.25749,1.18881,1.17639,1,0.38677,0.47676,0.2069,2.10836,3.09313,1.25486,0.00157128,0.00157128,0.00157128
31,221.128,1.3052,1.23516,1.16985,0.9749,0.4,0.60767,0.24995,2.42941,1.74509,1.34884,0.00156798,0.00156798,0.00156798
32,228.215,1.30929,1.19361,1.178,1,0.59484,0.66443,0.23433,2.33443,1.46505,1.29486,0.00156468,0.00156468,0.00156468
33,235.27,1.23339,1.09445,1.14552,0.97469,0.4,0.62685,0.25936,2.39065,1.80153,1.32071,0.00156138,0.00156138,0.00156138
34,242.34,1.24283,1.15825,1.17831,0.69953,0.6,0.5791,0.21641,2.49702,1.90177,1.40786,0.00155808,0.00155808,0.00155808
35,249.422,1.26985,1.17085,1.17269,0.96011,0.4,0.47533,0.18844,2.44818,2.44192,1.31037,0.00155478,0.00155478,0.00155478
36,256.45,1.16088,1.04209,1.11549,1,0.39334,0.4764,0.2519,2.17338,2.37971,1.29526,0.00155148,0.00155148,0.00155148
37,263.542,1.20327,1.04592,1.14221,0.97039,0.4,0.47733,0.22938,2.24358,2.10507,1.39081,0.00154818,0.00154818,0.00154818
38,270.623,1.24454,1.07128,1.18181,0.97388,0.4,0.45254,0.24107,1.99863,1.69653,1.53613,0.00154488,0.00154488,0.00154488
39,277.703,1.18482,1.02808,1.15379,0.97486,0.4,0.44794,0.21504,2.12863,2.22468,1.28892,0.00154157,0.00154157,0.00154157
40,284.793,1.1479,1.01078,1.12434,0.96685,0.4,0.42387,0.20876,2.16183,2.28477,1.27033,0.00153827,0.00153827,0.00153827
41,291.897,1.26301,1.02482,1.15891,0.96246,0.4,0.43618,0.17173,2.35772,2.25779,1.3439,0.00153497,0.00153497,0.00153497
42,298.948,1.2282,0.99936,1.14468,1,0.38411,0.45112,0.19578,2.21121,2.6364,1.27511,0.00153167,0.00153167,0.00153167
43,306.02,1.26211,1.01545,1.15771,0.38718,0.4,0.2395,0.10067,2.50057,2.53573,1.45809,0.00152837,0.00152837,0.00152837
44,313.098,1.16756,0.92793,1.1122,0.94349,0.4,0.43411,0.19618,2.39154,2.54388,1.33996,0.00152507,0.00152507,0.00152507
45,320.164,1.22501,1.01877,1.15145,0.97857,0.4,0.43312,0.18553,2.3372,2.2543,1.35884,0.00152177,0.00152177,0.00152177
46,327.226,1.21721,0.97136,1.14256,0.9775,0.4,0.41243,0.1983,2.12338,2.14553,1.23964,0.00151847,0.00151847,0.00151847
47,334.314,1.16867,0.93676,1.12148,0.97422,0.4,0.405,0.18583,2.24945,1.94532,1.34576,0.00151517,0.00151517,0.00151517
48,341.406,1.19928,0.95495,1.15261,1,0.38837,0.44122,0.13629,2.56398,2.69168,1.46441,0.00151187,0.00151187,0.00151187
49,348.503,1.18385,0.97817,1.14914,0.58564,0.4,0.43129,0.19977,2.2294,2.75674,1.31312,0.00150857,0.00150857,0.00150857
50,355.602,1.22223,0.92481,1.17487,1,0.39374,0.456,0.2479,2.31137,2.49112,1.27143,0.00150527,0.00150527,0.00150527
51,362.702,1.16653,0.94688,1.14464,0.96982,0.4,0.42711,0.22543,2.20391,2.34753,1.33468,0.00150197,0.00150197,0.00150197
52,369.793,1.19168,0.9829,1.1282,0.90084,0.4,0.43658,0.22999,2.43075,1.73738,1.44193,0.00149867,0.00149867,0.00149867
53,376.852,1.10521,0.92181,1.11562,0.97532,0.4,0.45118,0.19348,2.33337,2.61357,1.46574,0.00149537,0.00149537,0.00149537
54,383.951,1.1503,0.94874,1.12752,0.97518,0.4,0.41533,0.16477,2.08529,3.03472,1.33388,0.00149207,0.00149207,0.00149207
55,391.043,1.108,0.8949,1.11137,0.9774,0.4,0.41476,0.1484,2.20184,2.74832,1.27672,0.00148876,0.00148876,0.00148876
56,398.108,1.1164,0.90229,1.10673,0.97718,0.4,0.53641,0.25089,2.08277,1.68528,1.20584,0.00148546,0.00148546,0.00148546
57,405.192,1.18751,0.92463,1.14019,0.78951,0.8,0.76177,0.31849,2.22942,1.88999,1.24708,0.00148216,0.00148216,0.00148216
58,412.327,1.1273,0.89164,1.1243,0.61262,0.4,0.41798,0.15636,2.56708,2.03939,1.46588,0.00147886,0.00147886,0.00147886
59,419.4,1.13561,0.88412,1.13017,0.63706,0.36447,0.42429,0.14833,2.75191,2.9849,1.43158,0.00147556,0.00147556,0.00147556
60,426.48,1.11644,0.91547,1.13046,0.98174,0.4,0.68139,0.21302,2.52446,2.60505,1.43312,0.00147226,0.00147226,0.00147226
61,433.548,1.11237,0.86333,1.1284,1,0.39337,0.42889,0.21444,2.07036,2.38309,1.32636,0.00146896,0.00146896,0.00146896
62,440.596,1.08954,0.88657,1.1097,0.97286,0.4,0.43281,0.19556,2.38202,2.09905,1.47914,0.00146566,0.00146566,0.00146566
63,447.664,1.1346,0.94754,1.12716,0.97434,0.4,0.51118,0.23216,2.49388,2.1691,1.42514,0.00146236,0.00146236,0.00146236
64,454.789,1.11421,0.80615,1.08903,0.9748,0.4,0.49563,0.19418,2.6924,2.19936,1.51311,0.00145906,0.00145906,0.00145906
65,461.84,1.10906,0.88245,1.10718,0.97511,0.4,0.48214,0.19286,2.5195,2.0586,1.59683,0.00145576,0.00145576,0.00145576
66,468.918,1.16635,0.86068,1.13016,1,0.39133,0.6475,0.21925,2.69516,2.98035,1.49589,0.00145246,0.00145246,0.00145246
67,476.003,1.06693,0.7906,1.10665,1,0.39356,0.57091,0.20824,2.55645,2.93437,1.47353,0.00144916,0.00144916,0.00144916
68,483.082,1.0333,0.80114,1.08691,1,0.57667,0.62917,0.27219,2.41439,2.07879,1.35643,0.00144586,0.00144586,0.00144586
69,490.153,1.07098,0.78216,1.09677,0.97514,0.4,0.57091,0.26731,2.46787,2.28911,1.32093,0.00144256,0.00144256,0.00144256
70,497.22,1.05966,0.86005,1.07411,1,0.58278,0.70489,0.30048,2.19199,1.91744,1.22736,0.00143925,0.00143925,0.00143925
71,504.301,1.11397,0.90582,1.11828,1,0.56471,0.72755,0.24464,2.24101,2.1695,1.36049,0.00143595,0.00143595,0.00143595
72,511.325,1.05441,0.8251,1.10964,0.97449,0.4,0.46667,0.2368,2.4934,2.44177,1.4101,0.00143265,0.00143265,0.00143265
73,518.466,1.15411,0.87942,1.1268,1,0.38962,0.4255,0.19375,2.32499,2.96099,1.36525,0.00142935,0.00142935,0.00142935
74,525.524,1.06442,0.81848,1.07677,1,0.57417,0.61865,0.19871,2.44935,2.42047,1.36648,0.00142605,0.00142605,0.00142605
75,532.652,1.0391,0.82252,1.09906,0.97351,0.4,0.61833,0.28531,2.04387,2.09314,1.21578,0.00142275,0.00142275,0.00142275
76,539.704,1.01383,0.77517,1.06158,0.49134,0.6,0.55545,0.19865,2.15651,2.02116,1.26301,0.00141945,0.00141945,0.00141945
77,546.807,1.03125,0.79246,1.09468,0.6582,0.8,0.66959,0.31293,2.08712,1.53833,1.28113,0.00141615,0.00141615,0.00141615
78,553.872,1.03981,0.79443,1.07486,0.73569,0.56565,0.653,0.29827,2.21445,1.61699,1.36495,0.00141285,0.00141285,0.00141285
79,560.959,1.00849,0.7781,1.08042,1,0.69305,0.81711,0.36783,1.99179,1.85967,1.27956,0.00140955,0.00140955,0.00140955
80,568.211,1.01562,0.76024,1.05992,1,0.69718,0.80948,0.34043,2.05049,1.5675,1.30355,0.00140625,0.00140625,0.00140625
81,575.314,1.01666,0.75055,1.05552,1,0.58737,0.62429,0.29063,2.28454,1.5875,1.39546,0.00140295,0.00140295,0.00140295
82,582.377,1.06407,0.74411,1.06163,0.9763,0.4,0.58118,0.28007,2.25748,1.85297,1.32548,0.00139965,0.00139965,0.00139965
83,589.438,1.00816,0.74113,1.05869,1,0.39218,0.5765,0.2962,2.08073,2.46949,1.27032,0.00139635,0.00139635,0.00139635
84,596.497,1.03865,0.72615,1.0743,0.63905,0.4,0.4501,0.17703,2.33545,2.61305,1.33358,0.00139305,0.00139305,0.00139305
85,603.554,0.99303,0.70401,1.03938,0.9619,0.4,0.51758,0.20888,2.23751,2.91937,1.35454,0.00138974,0.00138974,0.00138974
86,610.635,1.01757,0.74069,1.07321,0.64265,0.4,0.37917,0.14338,2.44201,2.97855,1.42751,0.00138644,0.00138644,0.00138644
87,617.698,0.98145,0.72758,1.06076,0.65426,0.4,0.38933,0.20283,2.2355,2.65161,1.28863,0.00138314,0.00138314,0.00138314
88,624.765,1.01209,0.68256,1.06349,0.96938,0.4,0.43857,0.14605,2.28029,2.85307,1.33967,0.00137984,0.00137984,0.00137984
89,631.85,0.99981,0.70468,1.04589,0.95209,0.4,0.42711,0.16804,2.16138,2.91696,1.29105,0.00137654,0.00137654,0.00137654
90,638.912,1.0208,0.78009,1.07774,0.9518,0.4,0.42889,0.21444,2.11186,2.46076,1.33552,0.00137324,0.00137324,0.00137324
91,645.969,0.99528,0.71288,1.04496,1,0.39733,0.46073,0.20546,2.54039,2.29592,1.38262,0.00136994,0.00136994,0.00136994
92,653.088,1.02302,0.7525,1.06442,0.97593,0.4,0.46712,0.19225,2.51769,1.9198,1.43204,0.00136664,0.00136664,0.00136664
93,660.152,1.00414,0.80615,1.05882,0.95714,0.4,0.50237,0.19778,2.57329,2.41457,1.34926,0.00136334,0.00136334,0.00136334
94,667.217,0.99418,0.73225,1.05121,0.97218,0.4,0.48846,0.24313,2.28157,3.13905,1.22968,0.00136004,0.00136004,0.00136004
95,674.291,1.00514,0.7231,1.04278,0.64691,0.3763,0.35093,0.17237,2.11361,3.3266,1.19988,0.00135674,0.00135674,0.00135674
96,681.424,0.97186,0.74938,1.04585,0.44213,0.4,0.35706,0.16357,2.17826,2.73544,1.22101,0.00135344,0.00135344,0.00135344
97,688.499,1.05326,0.8035,1.07337,0.47286,0.4,0.396,0.20557,2.04977,3.0829,1.19991,0.00135014,0.00135014,0.00135014
98,695.566,0.9804,0.70275,1.06903,0.96744,0.4,0.42405,0.2237,1.98954,2.1336,1.24265,0.00134684,0.00134684,0.00134684
99,702.675,0.94021,0.65365,1.01888,0.95771,0.4,0.59314,0.26316,2.11501,1.8704,1.26794,0.00134354,0.00134354,0.00134354
