epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67336,1.73735,3.56201,1.78778,0.0226,0.45192,0.12228,0.05421,1.58067,4.1497,1.92326,0.00034296,0.00034296,0.00034296
2,17.9121,1.60003,2.77421,1.67437,0.02995,0.59038,0.15859,0.065,1.83303,3.8919,2.14672,0.00066555,0.00066555,0.00066555
3,26.3141,1.60464,2.74731,1.66994,0.70112,0.19231,0.16663,0.06253,1.91889,3.53823,2.30674,0.000952771,0.000952771,0.000952771
4,34.6053,1.62524,2.72824,1.67606,0.63141,0.23077,0.1774,0.07381,1.97131,3.39066,2.64713,0.00120463,0.00120463,0.00120463
5,43.0755,1.64848,2.64442,1.61757,0.72276,0.30769,0.47192,0.17998,1.928,3.36909,2.53962,0.00114606,0.00114606,0.00114606
6,51.7031,1.60908,2.40143,1.62329,0.61701,0.44615,0.33093,0.17577,1.87848,3.83176,2.25102,0.00107532,0.00107532,0.00107532
7,59.8811,1.64083,2.39813,1.61892,0.66705,0.39089,0.3579,0.19384,2.07411,3.40752,2.45781,0.00100459,0.00100459,0.00100459
8,68.2745,1.54005,2.19071,1.58286,0.69988,0.43047,0.41012,0.20611,2.06501,3.06841,2.52137,0.000933851,0.000933851,0.000933851
9,76.5575,1.56002,2.19204,1.60889,0.68304,0.35962,0.46371,0.19956,2.21607,3.05045,2.64425,0.000863116,0.000863116,0.000863116
10,84.8068,1.55874,2.13803,1.56819,0.50956,0.25055,0.29973,0.14236,2.1945,3.37464,2.52425,0.00079238,0.00079238,0.00079238
11,94.2782,1.53269,2.5725,1.63377,0.61811,0.31154,0.35552,0.14618,2.09931,3.59296,2.81029,0.000721645,0.000721645,0.000721645
12,102.566,1.48876,2.42205,1.60807,0.76362,0.39808,0.46998,0.21099,1.97506,3.07864,2.17585,0.000650909,0.000650909,0.000650909
13,110.893,1.39854,2.20865,1.5285,0.68689,0.43654,0.4142,0.22839,1.81028,2.91654,1.9702,0.000580174,0.000580174,0.000580174
14,119.319,1.43728,2.21012,1.54605,0.72349,0.52431,0.49946,0.2595,1.85559,2.65334,2.0449,0.000509438,0.000509438,0.000509438
15,127.678,1.34597,2.03361,1.51141,0.71964,0.4684,0.55236,0.33542,1.7088,2.35512,1.95131,0.000438703,0.000438703,0.000438703
16,136.025,1.33895,1.95724,1.51289,0.55844,0.5895,0.573,0.33972,1.66615,2.35769,1.95145,0.000367967,0.000367967,0.000367967
17,144.213,1.32862,1.9979,1.4313,0.47402,0.58763,0.54717,0.28694,1.71107,2.44106,2.02629,0.000297232,0.000297232,0.000297232
18,152.483,1.30209,1.87762,1.4068,0.44804,0.57156,0.52153,0.2639,1.77939,2.48647,2.0526,0.000226497,0.000226497,0.000226497
19,160.682,1.29554,1.82564,1.40024,0.77117,0.44472,0.53965,0.29138,1.71764,2.45289,1.98904,0.000155761,0.000155761,0.000155761
20,168.863,1.2648,1.81752,1.38228,0.58251,0.60385,0.54471,0.30058,1.6586,2.42538,1.91856,8.50255e-05,8.50255e-05,8.50255e-05
