epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90362,1.71244,3.94726,1.41966,0.00664,0.4,0.10086,0.03186,1.53836,4.4018,1.1384,0.00045009,0.00045009,0.00045009
2,14.9689,1.58642,2.81624,1.2483,0.00382,0.2,0.19655,0.13758,1.90688,4.20357,1.22129,0.000912312,0.000912312,0.000912312
3,22.0304,1.4849,2.66527,1.2376,0.00418,0.2,0.19669,0.13769,2.10582,4.09186,1.26594,0.00136991,0.00136991,0.00136991
4,29.0849,1.46775,2.45125,1.25435,0.9655,0.2,0.21813,0.15051,2.4691,4.3951,1.44193,0.00164225,0.00164225,0.00164225
5,36.1352,1.46671,2.36468,1.28628,0.95755,0.2,0.26475,0.14531,2.48627,3.53974,1.41591,0.00163399,0.00163399,0.00163399
6,43.1373,1.46892,2.30304,1.29884,1,0.36835,0.39832,0.21849,2.30344,3.40822,1.46678,0.00162574,0.00162574,0.00162574
7,50.2473,1.49635,2.09125,1.26941,1,0.39868,0.39811,0.20153,2.00815,3.03259,1.17607,0.00161749,0.00161749,0.00161749
8,57.2172,1.40723,2.00975,1.21857,0.96936,0.4,0.51844,0.21325,2.08929,4.22814,1.26659,0.00160924,0.00160924,0.00160924
9,64.276,1.47644,2.18584,1.28236,0.89042,0.4,0.45812,0.2451,1.91501,3.26091,1.3201,0.00160099,0.00160099,0.00160099
10,71.4214,1.42063,1.93854,1.24902,0.9604,0.4,0.49749,0.26699,2.15356,2.4934,1.32823,0.00159274,0.00159274,0.00159274
11,78.5049,1.41343,1.96047,1.25419,0.99315,0.4,0.40524,0.26038,1.93081,2.44087,1.23652,0.00158448,0.00158448,0.00158448
12,85.5042,1.4145,1.78679,1.26293,0.97315,0.4,0.43474,0.19654,2.36176,2.16767,1.34721,0.00157623,0.00157623,0.00157623
13,92.5784,1.40124,1.75244,1.2567,0.6614,0.39368,0.3365,0.15942,2.89256,2.6918,1.50336,0.00156798,0.00156798,0.00156798
14,99.5863,1.46001,1.7398,1.28923,0.88187,0.2,0.27743,0.15401,2.65963,2.71245,1.43354,0.00155973,0.00155973,0.00155973
15,106.612,1.36627,1.63777,1.18658,0.97542,0.4,0.40104,0.11278,2.50309,3.30156,1.39278,0.00155148,0.00155148,0.00155148
16,113.645,1.37693,1.62567,1.24903,0.97754,0.4,0.39713,0.1666,2.53553,3.04742,1.54298,0.00154323,0.00154323,0.00154323
17,120.676,1.34822,1.53148,1.22875,0.49572,0.4,0.23481,0.13215,2.31545,2.30398,1.28443,0.00153497,0.00153497,0.00153497
18,127.736,1.38732,1.46993,1.23751,0.45986,0.4,0.29703,0.1586,2.46776,3.12356,1.37924,0.00152672,0.00152672,0.00152672
19,134.756,1.32882,1.41024,1.18631,0.28458,0.4,0.16767,0.06747,2.19719,3.30869,1.28077,0.00151847,0.00151847,0.00151847
20,141.757,1.4022,1.44299,1.23559,1,0.39793,0.43389,0.16172,2.33478,2.55836,1.30806,0.00151022,0.00151022,0.00151022
21,148.85,1.27815,1.36752,1.17321,0.97483,0.4,0.39899,0.17502,2.12688,2.21106,1.28234,0.00150197,0.00150197,0.00150197
22,155.911,1.32579,1.34179,1.20232,0.97447,0.4,0.40004,0.17061,2.26708,2.31349,1.27589,0.00149372,0.00149372,0.00149372
23,162.953,1.31573,1.25961,1.20147,0.97373,0.4,0.39824,0.15112,2.53275,2.36466,1.41615,0.00148546,0.00148546,0.00148546
24,169.966,1.27184,1.25527,1.16837,0.96936,0.4,0.39909,0.15927,2.77659,2.70776,1.57446,0.00147721,0.00147721,0.00147721
25,177.045,1.26689,1.31462,1.20007,0.97597,0.4,0.40371,0.15206,2.52152,2.74559,1.49111,0.00146896,0.00146896,0.00146896
26,184.118,1.30644,1.29057,1.21404,1,0.3683,0.40193,0.12718,2.37273,3.02786,1.41504,0.00146071,0.00146071,0.00146071
27,191.171,1.25181,1.19048,1.17255,1,0.38876,0.40856,0.12623,2.32716,3.10907,1.41953,0.00145246,0.00145246,0.00145246
28,198.223,1.29659,1.2303,1.19466,0.97304,0.4,0.40826,0.23912,2.68062,2.57916,1.52295,0.00144421,0.00144421,0.00144421
29,205.309,1.22915,1.1035,1.14894,0.95021,0.4,0.40149,0.18305,2.31018,2.34157,1.32208,0.00143595,0.00143595,0.00143595
30,212.338,1.1996,1.12903,1.12838,0.96276,0.4,0.40673,0.1507,2.35108,2.24243,1.36311,0.0014277,0.0014277,0.0014277
31,219.403,1.28694,1.18152,1.14992,0.56238,0.6,0.53967,0.19434,2.427,1.76287,1.46688,0.00141945,0.00141945,0.00141945
32,226.463,1.29061,1.12375,1.18009,0.92829,0.4,0.51615,0.23882,2.24758,1.86654,1.35105,0.0014112,0.0014112,0.0014112
