epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2559,1.71016,3.61979,1.64258,0.01867,0.56491,0.0929,0.0427,1.61415,3.92947,2.02058,0.000465978,0.000465978,0.000465978
2,32.2311,1.56858,3.00455,1.51653,0.61313,0.2193,0.23323,0.11401,1.7689,3.54675,2.34024,0.000923654,0.000923654,0.000923654
3,44.1985,1.61761,2.83561,1.5634,0.52491,0.32807,0.21263,0.10276,1.92089,4.93854,2.92945,0.00136247,0.00136247,0.00136247
4,56.0753,1.68823,2.75262,1.55936,0.30379,0.45965,0.21629,0.10759,2.04717,6.12078,2.95611,0.00134412,0.00134412,0.00134412
5,68.0609,1.62812,2.49959,1.56039,0.26624,0.39463,0.1564,0.0639,2.46305,6.45083,3.30796,0.00131582,0.00131582,0.00131582
6,80.0807,1.64953,2.42037,1.56685,0.58829,0.25789,0.24004,0.09281,2.06935,6.32644,2.80781,0.00128753,0.00128753,0.00128753
7,92.0949,1.64913,2.378,1.56429,0.2899,0.44211,0.22863,0.10198,2.04975,3.37313,2.96034,0.00125923,0.00125923,0.00125923
8,104.123,1.5731,2.16633,1.53267,0.47506,0.32943,0.29122,0.12216,1.90648,3.09413,2.5144,0.00123094,0.00123094,0.00123094
9,116.175,1.60308,2.178,1.55797,0.44826,0.40175,0.30784,0.12009,1.99295,2.91332,2.57359,0.00120265,0.00120265,0.00120265
10,128.171,1.56305,2.04429,1.53606,0.40586,0.36316,0.36036,0.17374,2.01148,2.98695,2.54571,0.00117435,0.00117435,0.00117435
11,140.231,1.55914,1.99231,1.49198,0.6389,0.39825,0.39953,0.15479,1.82564,2.50907,2.26888,0.00114606,0.00114606,0.00114606
12,152.206,1.52183,1.90553,1.44028,0.4426,0.3807,0.32572,0.10554,2.00368,2.52737,2.37568,0.00111776,0.00111776,0.00111776
13,164.214,1.53923,1.87328,1.51025,0.18362,0.18421,0.16881,0.07382,2.009,2.78709,2.56076,0.00108947,0.00108947,0.00108947
14,176.182,1.45025,1.80813,1.40709,0.50797,0.55965,0.39698,0.19579,1.69401,2.20038,2.20081,0.00106118,0.00106118,0.00106118
15,188.279,1.49707,1.78221,1.47253,0.44063,0.47011,0.29909,0.10972,1.94386,2.63003,2.39816,0.00103288,0.00103288,0.00103288
16,200.26,1.48784,1.73881,1.46814,0.39673,0.48656,0.42604,0.17465,1.65303,2.20501,2.16864,0.00100459,0.00100459,0.00100459
17,212.223,1.39056,1.59754,1.36611,0.47597,0.55439,0.43244,0.16471,1.72674,2.20373,2.17816,0.000976293,0.000976293,0.000976293
18,224.229,1.42617,1.64715,1.40308,0.49778,0.58596,0.50984,0.20592,1.73496,2.08513,2.15077,0.000947999,0.000947999,0.000947999
19,236.237,1.41652,1.59855,1.37937,0.54969,0.49661,0.45263,0.20028,1.7512,2.0282,2.18665,0.000919704,0.000919704,0.000919704
20,248.184,1.42365,1.58515,1.37682,0.45434,0.4807,0.45662,0.23702,1.73079,2.05445,2.19029,0.00089141,0.00089141,0.00089141
21,260.22,1.38152,1.56359,1.39019,0.6123,0.473,0.43124,0.18129,1.86165,2.09859,2.26739,0.000863116,0.000863116,0.000863116
22,272.32,1.42565,1.54166,1.4086,0.85576,0.44561,0.59356,0.23235,1.52541,1.70533,1.98611,0.000834822,0.000834822,0.000834822
23,284.357,1.3835,1.44989,1.38019,0.794,0.55965,0.59366,0.29453,1.48803,1.58929,1.95935,0.000806528,0.000806528,0.000806528
24,296.417,1.3409,1.37917,1.33394,0.59266,0.63195,0.64946,0.33053,1.48322,1.55821,1.93163,0.000778233,0.000778233,0.000778233
25,308.473,1.33165,1.37164,1.3219,0.59499,0.66336,0.65876,0.30799,1.54602,1.64159,1.99414,0.000749939,0.000749939,0.000749939
26,320.444,1.30936,1.3535,1.32092,0.5788,0.55965,0.54735,0.26963,1.67091,1.65947,2.11662,0.000721645,0.000721645,0.000721645
27,332.486,1.28902,1.33005,1.33666,0.54145,0.53333,0.42901,0.19212,1.67263,1.84354,2.12167,0.000693351,0.000693351,0.000693351
28,344.436,1.27351,1.27515,1.32497,0.74953,0.52456,0.59749,0.29305,1.47609,1.63375,1.90883,0.000665057,0.000665057,0.000665057
29,356.402,1.2983,1.32265,1.36227,0.42942,0.55965,0.40786,0.2079,1.57995,1.82651,2.05915,0.000636762,0.000636762,0.000636762
30,368.422,1.21427,1.22113,1.28692,0.47586,0.62982,0.53556,0.26339,1.53415,1.65859,2.01858,0.000608468,0.000608468,0.000608468
31,380.422,1.24096,1.27527,1.31826,0.58853,0.59474,0.57005,0.3021,1.566,1.44599,2.03861,0.000580174,0.000580174,0.000580174
