epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7315,1.91135,3.82634,1.90793,0.63371,0.19231,0.14908,0.07021,2.21589,4.21732,3.09768,0.00047157,0.00047157,0.00047157
2,25.7046,1.79816,3.25539,1.84605,0.37591,0.32161,0.27354,0.13178,1.90558,3.66723,2.40169,0.000760218,0.000760218,0.000760218
3,38.11,1.72976,3.10668,1.77744,0.67864,0.18269,0.20172,0.09435,1.76527,3.73899,2.33091,0.000860239,0.000860239,0.000860239
4,50.0533,1.70731,3.07522,1.79424,0.44251,0.25385,0.29002,0.11356,1.82535,3.40401,2.44298,0.000580174,0.000580174,0.000580174
5,61.8486,1.68203,2.92565,1.72711,0.40199,0.3792,0.23879,0.12153,1.68065,3.2681,2.24451,0.000297232,0.000297232,0.000297232
