epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.23189,1.73281,4.19559,1.44709,0,0,0,0,1.74033,4.47814,1.09763,0.00038583,0.00038583,0.00038583
2,15.2473,1.58861,2.95342,1.27992,0.00457,0.2,0.19685,0.13779,2.07231,4.37358,1.30443,0.000778169,0.000778169,0.000778169
3,22.4189,1.42036,2.73298,1.23493,0.00714,0.2,0.19789,0.13852,2.52483,4.42129,1.49899,0.00116259,0.00116259,0.00116259
4,29.4938,1.46223,2.5218,1.25837,0.9622,0.2,0.21405,0.16409,2.08024,4.0635,1.38669,0.00138656,0.00138656,0.00138656
5,36.5809,1.484,2.33964,1.2824,0.97063,0.2,0.22332,0.15081,1.93236,4.93069,1.252,0.00137241,0.00137241,0.00137241
6,43.578,1.44152,2.32529,1.30773,0.97038,0.2,0.21,0.12506,1.85312,6.26822,1.32198,0.00135826,0.00135826,0.00135826
7,50.6277,1.43391,2.09959,1.26676,1,0.39113,0.39853,0.22106,2.08413,3.99918,1.29969,0.00134412,0.00134412,0.00134412
8,58.1806,1.37913,2.0418,1.22789,1,0.3966,0.39841,0.15745,2.46951,3.09217,1.39834,0.00132997,0.00132997,0.00132997
9,65.2112,1.44967,2.18414,1.26681,1,0.37527,0.3983,0.16738,1.95599,3.41498,1.41236,0.00131582,0.00131582,0.00131582
10,72.1969,1.39652,1.8703,1.23326,0.01307,0.4,0.09176,0.0393,2.42539,4.5256,1.4743,0.00130168,0.00130168,0.00130168
11,79.2635,1.38874,1.8733,1.24101,0.65627,0.38752,0.36896,0.16318,2.16411,3.11272,1.26619,0.00128753,0.00128753,0.00128753
12,86.274,1.41606,1.7588,1.24675,0.97236,0.4,0.39904,0.19637,2.37728,2.29211,1.37289,0.00127338,0.00127338,0.00127338
13,93.3165,1.37464,1.72285,1.23919,0.97415,0.4,0.4035,0.1725,2.51684,2.60682,1.42824,0.00125923,0.00125923,0.00125923
14,100.335,1.38627,1.70135,1.25458,0.89835,0.2,0.33451,0.12055,2.5836,2.90878,1.43198,0.00124509,0.00124509,0.00124509
15,107.407,1.30106,1.56928,1.17501,0.74504,0.6,0.54913,0.16764,2.41352,2.46564,1.36407,0.00123094,0.00123094,0.00123094
16,114.509,1.258,1.52761,1.21727,1,0.57582,0.59959,0.2301,2.22538,2.3041,1.24643,0.00121679,0.00121679,0.00121679
17,121.593,1.26127,1.4462,1.22159,0.97259,0.4,0.41809,0.20511,2.08211,2.33123,1.25181,0.00120265,0.00120265,0.00120265
18,128.632,1.34702,1.37256,1.24971,0.97801,0.4,0.48831,0.17973,2.05799,2.42982,1.23554,0.0011885,0.0011885,0.0011885
