epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55724,1.36083,4.27429,1.32057,0.002,0.35294,0.00281,0.00145,1.16049,3.88273,1.57349,8e-05,8e-05,8e-05
2,2.68912,1.23527,3.84769,1.22943,0.004,0.70588,0.18021,0.12435,0.75978,3.36164,1.02617,0.000176436,0.000176436,0.000176436
3,3.90993,1.20199,2.85961,1.14334,0.00433,0.76471,0.32243,0.21724,0.90406,3.05686,0.99739,0.000268912,0.000268912,0.000268912
4,5.07876,1.19942,2.58116,1.08969,0.00467,0.82353,0.26979,0.18903,0.96949,3.12195,1.02582,0.000357428,0.000357428,0.000357428
5,6.2281,1.19493,2.41726,1.09689,0.00467,0.82353,0.20261,0.15174,0.91816,3.13002,1.01279,0.000441984,0.000441984,0.000441984
6,7.35695,1.07008,2.25766,1.08721,0.00467,0.82353,0.37115,0.27293,0.90138,3.139,1.01184,0.00052258,0.00052258,0.00052258
7,8.5213,1.20969,2.16771,1.11279,0.00433,0.76471,0.25725,0.15643,1.03163,3.34902,1.12209,0.000599216,0.000599216,0.000599216
8,9.63124,1.06362,2.0049,1.01937,0.00433,0.76471,0.23432,0.13779,1.23837,3.54746,1.23273,0.000671892,0.000671892,0.000671892
9,10.7821,1.14149,1.98725,1.0544,0.004,0.70588,0.20962,0.13133,1.24049,3.4741,1.17426,0.000740608,0.000740608,0.000740608
10,11.9221,1.13996,2.04544,1.05818,0.00417,0.73529,0.29151,0.13871,1.26682,3.47217,1.20246,0.000805364,0.000805364,0.000805364
11,13.0619,1.18751,1.88859,1.05094,0.67344,0.08824,0.19968,0.10725,1.34523,3.50593,1.30288,0.00086616,0.00086616,0.00086616
12,14.1909,1.18468,1.96631,1.1297,0.6209,0.08824,0.14327,0.07589,1.39418,3.45502,1.28019,0.000922996,0.000922996,0.000922996
13,15.3182,1.16161,1.76236,1.05036,1,0.07627,0.22149,0.13141,1.36434,3.33658,1.22597,0.000975872,0.000975872,0.000975872
14,16.4477,1.14506,1.66511,1.05899,1,0.1385,0.23019,0.14864,1.39253,3.22447,1.24317,0.00102479,0.00102479,0.00102479
15,17.581,1.08331,1.76204,1.06601,0.44101,0.11619,0.09816,0.0676,1.51251,3.40328,1.45535,0.00106974,0.00106974,0.00106974
16,18.6981,1.18358,1.90392,1.11754,0.145,0.05882,0.0502,0.03157,1.53578,3.62136,1.44565,0.00111074,0.00111074,0.00111074
17,19.8487,1.21198,1.91793,1.09068,0.41125,0.08824,0.12471,0.08431,1.36386,3.336,1.31371,0.00114778,0.00114778,0.00114778
18,20.9709,1.1857,1.72905,1.10086,0.33194,0.17647,0.17106,0.12356,1.3165,2.99587,1.28122,0.00118085,0.00118085,0.00118085
19,22.0971,1.0686,1.54345,1.04543,0.42069,0.29412,0.27581,0.17814,1.17644,2.77665,1.19831,0.00120997,0.00120997,0.00120997
20,23.2531,1.04715,1.53835,1.03266,0.74374,0.41176,0.46028,0.3275,1.11248,2.45016,1.19363,0.00123512,0.00123512,0.00123512
21,24.3871,1.05603,1.51482,1.02073,0.73224,0.32184,0.37443,0.26415,1.17928,2.61701,1.24756,0.001208,0.001208,0.001208
22,25.5375,1.10863,1.59126,1.06881,0.55646,0.29412,0.35018,0.24569,1.24403,2.60261,1.21252,0.0011684,0.0011684,0.0011684
23,26.665,1.11848,1.47564,1.10753,0.79654,0.29412,0.37079,0.24554,1.26825,2.49663,1.21703,0.0011288,0.0011288,0.0011288
24,27.8,1.04994,1.45773,1.0514,0.58305,0.29412,0.3266,0.21271,1.3856,2.71189,1.27699,0.0010892,0.0010892,0.0010892
25,28.9269,1.017,1.35387,1.0368,0.6069,0.17647,0.24165,0.17407,1.33722,2.93608,1.27676,0.0010496,0.0010496,0.0010496
26,30.0487,1.00552,1.3493,1.04745,0.2168,0.26471,0.17215,0.116,1.38522,3.27958,1.33015,0.00101,0.00101,0.00101
27,31.1646,0.94896,1.28241,1.01622,0.39438,0.14706,0.13717,0.0821,1.35017,3.41316,1.36082,0.0009704,0.0009704,0.0009704
28,32.3103,0.96064,1.30471,1.00155,0.40957,0.17647,0.16543,0.09719,1.48614,3.17971,1.44566,0.0009308,0.0009308,0.0009308
