epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.30091,1.7931,3.73942,1.84862,0.01537,0.47115,0.22579,0.09293,1.4917,3.26709,2.08245,0.00017148,0.00017148,0.00017148
2,6.00534,1.64878,3.08627,1.65517,0.0195,0.49038,0.2266,0.10007,1.39391,3.10986,1.88737,0.000350176,0.000350176,0.000350176
3,8.54025,1.59461,2.65724,1.63013,0.85457,0.09615,0.20877,0.10366,1.48779,2.9519,2.0417,0.000521516,0.000521516,0.000521516
4,11.1604,1.62046,2.60593,1.60188,0.67654,0.15385,0.20925,0.08961,1.91717,2.96964,2.57165,0.0006855,0.0006855,0.0006855
5,13.7977,1.61674,2.51353,1.54559,0.01877,0.55192,0.21165,0.11098,1.94273,3.04977,2.376,0.000842127,0.000842127,0.000842127
6,16.4391,1.63191,2.4859,1.64412,0.60778,0.03846,0.06645,0.02384,2.3094,3.31249,3.27117,0.000991397,0.000991397,0.000991397
7,18.9974,1.62579,2.41505,1.63158,0.61521,0.21154,0.1431,0.07539,1.85976,3.3484,2.78795,0.00113331,0.00113331,0.00113331
8,21.6184,1.57298,2.27693,1.59977,0.62671,0.25,0.20463,0.09007,1.9462,2.79716,2.63903,0.00123094,0.00123094,0.00123094
9,24.1259,1.58397,2.26786,1.60681,0.70484,0.26346,0.33841,0.15863,2.03534,2.85446,2.73019,0.00120265,0.00120265,0.00120265
10,26.682,1.61548,2.1294,1.63817,0.42709,0.50385,0.32452,0.16485,1.99945,3.61908,2.79,0.00117435,0.00117435,0.00117435
11,29.2416,1.52234,2.22044,1.52299,0.30836,0.65192,0.41596,0.24139,1.72215,2.74266,2.30463,0.00114606,0.00114606,0.00114606
12,31.8196,1.57931,2.07052,1.55082,0.29397,0.40192,0.24657,0.11042,2.02286,3.00626,2.66553,0.00111776,0.00111776,0.00111776
13,34.2679,1.54752,2.01049,1.58132,0.48716,0.40904,0.35667,0.15382,1.78926,2.30252,2.37159,0.00108947,0.00108947,0.00108947
14,36.7068,1.54718,1.98843,1.52927,0.53637,0.38229,0.37264,0.18975,1.88426,2.18998,2.52707,0.00106118,0.00106118,0.00106118
15,39.2045,1.52455,1.96261,1.56597,0.36997,0.42692,0.38162,0.14971,1.94523,2.01254,2.56868,0.00103288,0.00103288,0.00103288
16,41.8084,1.52048,1.95535,1.54088,0.4727,0.37885,0.33613,0.17188,1.89641,1.89207,2.41495,0.00100459,0.00100459,0.00100459
17,44.3862,1.52414,1.95132,1.53428,0.59609,0.30192,0.28965,0.14279,2.05458,2.17886,2.5575,0.000976293,0.000976293,0.000976293
18,46.9433,1.45835,1.80392,1.46656,0.49349,0.43654,0.37305,0.15381,1.97039,1.91963,2.43373,0.000947999,0.000947999,0.000947999
19,49.3728,1.44941,1.68306,1.49685,0.6087,0.4071,0.48882,0.20617,2.10955,1.81422,2.48822,0.000919704,0.000919704,0.000919704
20,51.8783,1.46883,1.77074,1.4618,0.52221,0.54638,0.46161,0.1902,1.85333,1.82913,2.31771,0.00089141,0.00089141,0.00089141
21,54.306,1.4464,1.64617,1.4517,0.7222,0.68643,0.64522,0.26408,1.8189,1.82636,2.1781,0.000863116,0.000863116,0.000863116
22,56.7928,1.42423,1.66535,1.43551,0.76947,0.65577,0.6302,0.28331,1.72801,1.77591,2.1109,0.000834822,0.000834822,0.000834822
23,59.2394,1.42896,1.62739,1.4564,0.77904,0.56979,0.59405,0.22432,1.90083,1.70363,2.34263,0.000806528,0.000806528,0.000806528
24,61.705,1.36099,1.48778,1.41381,0.77444,0.60797,0.63675,0.21308,1.72689,1.75143,2.17897,0.000778233,0.000778233,0.000778233
25,64.2019,1.31577,1.4547,1.40507,0.5751,0.64615,0.55434,0.22502,1.88984,1.7808,2.39839,0.000749939,0.000749939,0.000749939
26,66.8245,1.35558,1.4814,1.40708,0.64089,0.61938,0.51559,0.21964,1.76573,1.92933,2.34731,0.000721645,0.000721645,0.000721645
27,69.4118,1.33447,1.49385,1.39324,0.36046,0.50293,0.46804,0.17951,1.77514,1.85853,2.30006,0.000693351,0.000693351,0.000693351
28,72.037,1.38533,1.50248,1.45037,0.63021,0.60568,0.5424,0.25321,1.83476,1.76613,2.39752,0.000665057,0.000665057,0.000665057
29,74.5402,1.27483,1.3773,1.34071,0.82025,0.53489,0.60605,0.2916,1.7448,1.57084,2.33239,0.000636762,0.000636762,0.000636762
30,77.0367,1.25804,1.34174,1.3336,0.84304,0.55728,0.57997,0.25422,1.77858,1.67196,2.27131,0.000608468,0.000608468,0.000608468
31,79.5464,1.29726,1.39201,1.37633,0.64264,0.47223,0.53468,0.24085,1.977,1.49978,2.5439,0.000580174,0.000580174,0.000580174
32,82.1092,1.26888,1.28332,1.33563,0.57873,0.62873,0.5679,0.28747,1.62007,1.32647,2.08573,0.00055188,0.00055188,0.00055188
33,84.7529,1.18198,1.25194,1.30059,0.63999,0.64231,0.58548,0.25693,1.91281,1.47975,2.37337,0.000523586,0.000523586,0.000523586
34,87.4467,1.23985,1.2843,1.33571,0.65539,0.47445,0.5973,0.25886,1.84305,1.46181,2.26177,0.000495291,0.000495291,0.000495291
35,90.0579,1.17906,1.19469,1.29243,0.68811,0.50385,0.5431,0.25988,1.69652,1.48018,2.13967,0.000466997,0.000466997,0.000466997
36,92.7079,1.22167,1.21382,1.31677,0.76994,0.48564,0.59621,0.28808,1.62621,1.4369,2.00696,0.000438703,0.000438703,0.000438703
37,95.234,1.17941,1.2002,1.31718,0.57939,0.61821,0.60887,0.29289,1.59985,1.34891,1.99031,0.000410409,0.000410409,0.000410409
38,97.8676,1.15362,1.15942,1.28447,0.60873,0.61054,0.58978,0.29592,1.63318,1.33243,1.98751,0.000382115,0.000382115,0.000382115
39,100.499,1.20618,1.17984,1.30317,0.61398,0.63869,0.61143,0.3013,1.60393,1.37686,1.94479,0.00035382,0.00035382,0.00035382
40,103.209,1.16667,1.15119,1.26354,0.84136,0.51494,0.61135,0.29787,1.63927,1.43608,2.03374,0.000325526,0.000325526,0.000325526
41,106.821,1.07633,1.13245,1.23479,0.89944,0.50455,0.61696,0.29951,1.65569,1.44345,2.04647,0.000297232,0.000297232,0.000297232
42,109.547,1.03146,1.11858,1.21206,0.87573,0.55894,0.65798,0.33234,1.69488,1.2688,2.0554,0.000268938,0.000268938,0.000268938
43,112.158,1.00187,1.04707,1.18899,0.86124,0.575,0.68565,0.34565,1.67585,1.16557,2.03011,0.000240644,0.000240644,0.000240644
44,114.748,0.94244,1.00358,1.17453,0.83018,0.61346,0.67762,0.36135,1.59709,1.15153,1.9528,0.000212349,0.000212349,0.000212349
45,117.308,0.94908,0.99647,1.16805,0.69332,0.61392,0.64281,0.33955,1.55325,1.15535,1.91792,0.000184055,0.000184055,0.000184055
