epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.6067,1.69781,4.74897,1.50915,0.00505,0.2,0.19705,0.11823,1.84659,4.49638,1.17749,0.00038583,0.00038583,0.00038583
2,15.6118,1.44892,3.3585,1.21693,0.00571,0.2,0.19731,0.13812,1.71972,4.14446,1.09593,0.000708141,0.000708141,0.000708141
3,22.6283,1.45333,2.99523,1.2239,0.80253,0.2,0.24236,0.15245,2.29471,3.8982,1.32761,0.000951228,0.000951228,0.000951228
4,29.6401,1.42364,2.69207,1.29114,1,0.38627,0.40124,0.22835,2.14177,3.22609,1.30811,0.00100459,0.00100459,0.00100459
5,36.7143,1.36014,2.63127,1.22605,0.91212,0.4,0.49782,0.209,2.08595,3.54071,1.31207,0.000863116,0.000863116,0.000863116
6,43.7242,1.33629,2.45821,1.18397,1,0.39583,0.42626,0.22202,2.03803,3.07141,1.23945,0.000721645,0.000721645,0.000721645
7,50.7241,1.30238,2.26403,1.18176,0.94953,0.4,0.42431,0.24568,1.75626,2.8144,1.13313,0.000580174,0.000580174,0.000580174
8,57.7843,1.27205,2.18525,1.17278,0.9725,0.4,0.46485,0.23217,2.1002,2.61215,1.22154,0.000438703,0.000438703,0.000438703
9,64.8081,1.27977,2.05942,1.15647,0.99378,0.4,0.48438,0.21886,1.86036,2.74427,1.17111,0.000297232,0.000297232,0.000297232
10,71.8369,1.21833,1.99988,1.13385,0.96646,0.4,0.48442,0.2325,1.81588,2.75003,1.16781,0.000155761,0.000155761,0.000155761
